Time,MBInPerSec
0.0,0.0
0.0833333333333333,314.0
0.1666666666666666,321.0
0.25,364.0
0.3333333333333333,397.0
0.4166666666666667,440.0
0.5,479.0
0.5833333333333334,517.0
0.6666666666666666,553.0
0.75,586.0
0.8333333333333334,618.0
0.9166666666666666,641.0
1.0,664.0
1.0833333333333333,667.0
1.1666666666666667,655.0
1.25,663.0
1.3333333333333333,667.0
1.4166666666666667,674.0
1.5,679.0
1.5833333333333333,685.0
1.6666666666666667,691.0
1.75,698.0
1.8333333333333333,690.0
1.9166666666666667,681.0
2.0,671.0
2.083333333333333,665.0
2.1666666666666665,672.0
2.25,671.0
2.333333333333333,674.0
2.4166666666666665,677.0
2.5,684.0
2.583333333333333,689.0
2.6666666666666665,690.0
2.75,678.0
2.833333333333333,674.0
2.9166666666666665,665.0
3.0,656.0
3.083333333333333,649.0
3.1666666666666665,644.0
3.25,638.0
3.333333333333333,633.0
3.4166666666666665,628.0
3.5,623.0
3.583333333333333,620.0
3.6666666666666665,614.0
3.75,611.0
3.8333333333333335,609.0
3.9166666666666665,619.0
4.0,626.0
4.083333333333333,639.0
4.166666666666667,648.0
4.25,655.0
4.333333333333333,663.0
4.416666666666667,668.0
4.5,674.0
4.583333333333333,681.0
4.666666666666667,688.0
4.75,689.0
4.833333333333333,694.0
4.916666666666667,698.0
5.0,701.0
5.083333333333333,706.0
5.166666666666667,711.0
5.25,707.0
5.333333333333333,709.0
5.416666666666667,710.0
5.5,712.0
5.583333333333333,706.0
5.666666666666667,701.0
5.75,691.0
5.833333333333333,679.0
5.916666666666667,670.0
6.0,664.0
6.083333333333333,669.0
6.166666666666667,675.0
6.25,668.0
6.333333333333333,661.0
6.416666666666667,652.0
6.5,659.0
6.583333333333333,660.0
6.666666666666667,652.0
6.75,646.0
6.833333333333333,639.0
6.916666666666667,643.0
7.0,658.0
7.083333333333333,665.0
7.166666666666667,670.0
7.25,675.0
7.333333333333333,683.0
7.416666666666667,686.0
7.5,689.0
7.583333333333333,692.0
7.666666666666667,699.0
7.75,720.0
7.833333333333333,732.0
7.916666666666667,726.0
8.0,719.0
8.083333333333334,707.0
8.166666666666666,702.0
8.25,707.0
8.333333333333334,710.0
8.416666666666666,709.0
8.5,711.0
8.583333333333334,697.0
8.666666666666666,694.0
8.75,697.0
8.833333333333334,705.0
8.916666666666666,705.0
9.0,711.0
9.083333333333334,716.0
9.166666666666666,720.0
9.25,712.0
9.333333333333334,701.0
9.416666666666666,696.0
9.5,697.0
9.583333333333334,665.0
9.666666666666666,672.0
9.75,673.0
9.833333333333334,678.0
9.916666666666666,682.0
10.0,685.0
10.083333333333334,690.0
10.166666666666666,695.0
10.25,691.0
10.333333333333334,693.0
10.416666666666666,694.0
10.5,696.0
10.583333333333334,690.0
10.666666666666666,685.0
10.75,675.0
10.833333333333334,663.0
10.916666666666666,655.0
11.0,649.0
11.083333333333334,654.0
11.166666666666666,659.0
11.25,653.0
11.333333333333334,646.0
11.416666666666666,637.0
11.5,644.0
11.583333333333334,645.0
11.666666666666666,637.0
11.75,631.0
11.833333333333334,624.0
11.916666666666666,628.0
12.0,643.0
12.083333333333334,650.0
12.166666666666666,655.0
12.25,659.0
12.333333333333334,667.0
12.416666666666666,670.0
12.5,673.0
12.583333333333334,676.0
12.666666666666666,683.0
12.75,703.0
12.833333333333334,715.0
12.916666666666666,709.0
13.0,702.0
13.083333333333334,691.0
13.166666666666666,686.0
13.25,691.0
13.333333333333334,694.0
13.416666666666666,693.0
13.5,695.0
13.583333333333334,681.0
13.666666666666666,678.0
13.75,681.0
13.833333333333334,689.0
13.916666666666666,689.0
14.0,695.0
14.083333333333334,700.0
14.166666666666666,703.0
14.25,696.0
14.333333333333334,685.0
14.416666666666666,680.0
14.5,681.0
