Time,RunA,RunB
0.0,107433,42983.0
0.08333333333333333,316130,68896.0
0.16666666666666666,474576,160308.0
0.25,602006,236442.0
0.3333333333333333,706614,299596.0
0.4166666666666667,797188,361245.0
0.5,1437972,558709.0
0.5833333333333334,1674722,595081.0
0.6666666666666666,1636520,896169.0
0.75,1602369,905488.0
0.8333333333333334,1571848,907645.0
0.9166666666666666,1545366,907599.0
1.0,1532081,903415.0
1.0833333333333333,1528175,870105.0
1.1666666666666667,1509338,856270.0
1.25,1487535,846186.0
1.3333333333333333,1470990,838144.0
1.4166666666666667,1470168,831733.0
1.5,1378378,820554.0
1.5833333333333333,1393201,817021.0
1.6666666666666667,1418056,787444.0
1.75,1425367,775468.0
1.8333333333333333,1447353,762430.0
1.9166666666666667,1466345,750263.0
2.0,1552110,732096.0
2.0833333333333335,1539251,731410.0
2.1666666666666665,1536537,676690.0
2.25,1532834,676590.0
2.3333333333333335,1542971,678504.0
2.4166666666666665,1551988,683253.0
2.5,1643736,692422.0
2.5833333333333335,1617610,693998.0
2.6666666666666665,1612438,670326.0
2.75,1606839,663772.0
2.8333333333333335,1597471,656897.0
2.9166666666666665,1592387,651231.0
3.0,1501814,631904.0
3.0833333333333335,1486130,628517.0
3.1666666666666665,1458899,636363.0
3.25,1438636,631857.0
3.3333333333333335,1415446,626776.0
3.4166666666666665,1399503,623035.0
3.5,1291696,618098.0
3.5833333333333335,1270263,614838.0
3.6666666666666665,1257920,568364.0
3.75,1258319,567282.0
3.8333333333333335,1248096,576730.0
3.9166666666666665,1238832,585560.0
4.0,1233116,611896.0
4.083333333333333,1152629,619701.0
4.166666666666667,1173816,630027.0
4.25,1185624,637283.0
4.333333333333333,1187632,643687.0
4.416666666666667,1210976,649671.0
4.5,1276550,656696.0
4.583333333333333,1323359,662061.0
4.666666666666667,1353084,709342.0
4.75,1366852,709436.0
4.833333333333333,1365031,711904.0
4.916666666666667,1377471,713196.0
5.0,1468694,717377.0
5.083333333333333,1517775,719942.0
5.166666666666667,1504581,738167.0
5.25,1485987,734097.0
5.333333333333333,1460587,732478.0
5.416666666666667,1436173,732207.0
5.5,1351235,724114.0
5.583333333333333,1407466,719717.0
5.666666666666667,1377717,701891.0
5.75,1342224,691008.0
5.833333333333333,1307919,680965.0
5.916666666666667,1291279,673012.0
6.0,1178579,677543.0
6.083333333333333,1132536,680136.0
6.166666666666667,1129493,646624.0
6.25,1140616,640725.0
6.333333333333333,1177704,636918.0
6.416666666666667,1209804,639115.0
6.5,1296976,643192.0
6.583333333333333,1289738,639097.0
6.666666666666667,1335224,619764.0
6.75,1346640,615421.0
6.833333333333333,1361319,618160.0
6.916666666666667,1363995,625972.0
7.0,1492024,626362.0
7.083333333333333,1539311,632813.0
7.166666666666667,1552100,650614.0
7.25,1543124,659325.0
7.333333333333333,1534409,662277.0
7.416666666666667,1526100,666821.0
7.5,1526222,675163.0
7.583333333333333,1512650,677724.0
7.666666666666667,1494023,715544.0
7.75,1466108,729581.0
7.833333333333333,1442270,730937.0
7.916666666666667,1433708,729120.0
8.0,1369922,716616.0
8.083333333333334,1324572,704243.0
8.166666666666666,1320108,731311.0
8.25,1316679,733234.0
8.333333333333334,1315855,732406.0
8.416666666666666,1322929,732585.0
8.5,1288917,692054.0
8.583333333333334,1300238,685129.0
8.666666666666666,1318312,718110.0
8.75,1335849,719836.0
8.833333333333334,1350011,721849.0
8.916666666666666,1353616,722573.0
9.0,1414451,683117.0
9.083333333333334,1456851,686651.0
9.166666666666666,1475590,714685.0
9.25,1485487,704298.0
9.333333333333334,1485595,695250.0
9.416666666666666,1494834,695049.0
9.5,1558600,701743.0
9.583333333333334,1581177,693560.0
9.666666666666666,1583480,676353.0
9.75,1592476,666187.0
9.833333333333334,1596909,657820.0
9.916666666666666,1600735,652431.0
10.0,1627525,658313.0
10.083333333333334,1615513,653195.0
10.166666666666666,1602120,588721.0
10.25,1595165,603112.0
10.333333333333334,1586520,627809.0
10.416666666666666,1561121,646440.0
10.5,1545420,663480.0
10.583333333333334,1479644,679686.0
10.666666666666666,1454714,708912.0
10.75,1430784,712602.0
10.833333333333334,1411664,718128.0
10.916666666666666,1395934,723908.0
11.0,1306102,739796.0
11.083333333333334,1256022,750780.0
11.166666666666666,1262196,825952.0
11.25,1250583,836771.0
11.333333333333334,1242203,830062.0
11.416666666666666,1244155,816662.0
11.5,1218143,808298.0
11.583333333333334,1194226,810777.0
11.666666666666666,1201613,829566.0
11.75,1216099,837325.0
11.833333333333334,1226011,843300.0
11.916666666666666,1233788,846641.0
12.0,1295653,869888.0
12.083333333333334,1294902,
12.166666666666666,1302805,
12.25,1308914,
