Time,p95
0.0,1
0.08345,1
0.1669,1
0.25033333333333335,1
0.33376666666666666,1
0.4172,1
0.5006333333333334,1
0.5840666666666666,1
0.6675166666666666,1
0.75095,1
0.8343833333333334,1
0.9178,1
1.0012666666666667,1
1.0847,1
1.1681166666666667,1
1.2515666666666667,1
1.3350333333333333,1
1.41845,1
1.5018833333333332,1
1.5853166666666667,1
1.66875,1
1.7521833333333334,1
1.8356,1
1.91905,1
2.002483333333333,1
2.085933333333333,1
2.1693333333333333,1
2.2527666666666666,1
2.3361833333333335,1
2.419583333333333,1
2.5030166666666664,1
2.5864666666666665,1
2.6699166666666665,1
2.75335,1
2.8367833333333334,2
2.9202166666666667,1
3.003633333333333,1
3.08705,1
3.17045,1
3.2539,1
3.3373166666666667,1
3.42075,1
3.504166666666667,1
3.5875833333333333,1
3.671,1
3.7544166666666667,1
3.8378833333333335,1
3.9212833333333332,1
4.004716666666667,1
4.088183333333333,1
4.171583333333333,1
4.255,1
4.338416666666666,1
4.421833333333334,1
4.5052666666666665,1
4.5887166666666666,1
4.672166666666667,1
4.755616666666667,1
4.839033333333333,1
4.92245,1
5.005883333333333,1
5.089333333333333,1
5.172766666666667,1
5.256166666666667,1
5.3396,1
5.423016666666666,1
5.50645,1
5.58985,1
5.67325,1
5.7567,1
5.840133333333333,1
5.923583333333333,1
6.007033333333333,1
6.09045,1
6.173883333333333,1
6.2573,1
6.340716666666666,1
6.42415,1
6.50755,1
6.591,1
6.67445,1
6.7579,1
6.841316666666667,1
6.92475,1
7.008166666666667,1
7.0916,1
7.175016666666667,1
7.2584333333333335,1
7.3418833333333335,1
7.425316666666666,1
7.508733333333334,1
7.5921666666666665,1
7.6756166666666665,1
7.759033333333333,1
7.842483333333333,1
7.925916666666667,1
8.009366666666667,1
8.0928,1
8.176216666666667,1
8.25965,1
8.343083333333333,1
8.4265,1
8.509933333333333,1
8.593366666666666,1
8.6768,1
8.760266666666666,1
8.843683333333333,1
8.9271,1
9.010516666666666,1
9.093933333333334,1
9.17735,1
9.260783333333332,1
9.344233333333333,1
9.42765,1
9.511083333333334,1
9.594516666666667,1
9.677933333333334,1
9.76135,2
9.844766666666667,2
9.928216666666666,2
10.011633333333334,2
10.095066666666666,2
10.1785,2
10.26195,2
10.345383333333332,2
10.428783333333334,2
10.512233333333333,2
10.595666666666666,2
10.679083333333333,2
10.762516666666667,2
10.845966666666667,2
10.9294,2
11.01285,2
11.0963,2
11.179766666666668,2
11.263216666666667,2
11.346633333333333,1
11.430066666666667,2
11.513466666666666,2
11.5969,2
11.68035,2
11.763783333333333,2
11.847233333333334,2
11.93065,2
12.014083333333334,2
12.097516666666667,2
12.180916666666667,2
12.26435,1
12.347783333333334,2
12.431216666666666,2
12.51465,2
12.598083333333333,2
12.6815,1
12.7649,1
12.848316666666667,1
12.93175,1
13.015216666666667,1
13.098616666666667,1
13.182033333333333,2
13.265483333333334,2
13.348916666666666,2
13.432366666666667,2
13.5158,2
13.599233333333334,2
13.68265,1
13.76605,1
13.849466666666666,1
13.932866666666667,2
14.016283333333334,2
14.09975,2
14.183183333333334,2
14.266616666666666,2
14.35,1
14.433433333333333,2
